City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Gisors,FR,2021-04-18 16:02:39,49.2818,1.7801,55.4,47,0,4.61
235,Samarai,PG,2021-04-18 16:02:39,-10.6167,150.6667,82.47,78,97,9.62
236,Takoradi,GH,2021-04-18 16:02:40,4.8845,-1.7554,87.06,65,99,15.03
237,Raymond,US,2021-04-18 16:02:40,43.9015,-70.4703,50.0,62,95,1.01
238,Vallenar,CL,2021-04-18 16:02:40,-28.5708,-70.7581,80.71,33,0,4.94
239,Makinsk,KZ,2021-04-18 16:02:41,52.6292,70.4169,34.27,65,86,19.95
240,Cardston,CA,2021-04-18 16:00:23,49.2,-113.3019,37.4,56,97,17.27
241,San Carlos Del Zulia,VE,2021-04-18 16:02:41,9.0,-71.9135,89.6,56,93,3.27
242,Sitka,US,2021-04-18 16:02:42,57.0531,-135.33,44.6,76,1,7.45
243,Barbalha,BR,2021-04-18 16:00:36,-7.3111,-39.3042,85.24,57,74,1.61
244,Moose Factory,CA,2021-04-18 16:02:42,51.2585,-80.6094,41.0,45,1,4.61
245,Roma,US,2021-04-18 16:00:37,43.2128,-75.4557,51.8,66,75,6.91
246,Ulladulla,AU,2021-04-18 16:02:43,-35.35,150.4667,55.0,100,6,8.05
247,Saskylakh,RU,2021-04-18 16:02:43,71.9167,114.0833,4.15,93,98,10.02
248,Sioux Lookout,CA,2021-04-18 16:02:43,50.1001,-91.917,32.0,93,90,9.22
249,Cetraro,IT,2021-04-18 16:02:44,39.5166,15.9416,35.6,100,90,5.75
250,Kologriv,RU,2021-04-18 16:02:44,58.8275,44.3178,36.54,69,100,6.46
251,Qasigiannguit,GL,2021-04-18 16:02:44,68.8193,-51.1922,10.4,52,97,6.91
252,Bayji,IQ,2021-04-18 16:02:45,34.9311,43.487,87.51,16,49,9.28
253,Marsh Harbour,BS,2021-04-18 16:02:45,26.5412,-77.0636,79.54,72,98,13.8
254,Xining,CN,2021-04-18 16:02:46,36.6167,101.7667,51.28,39,84,14.54
255,Mega,ET,2021-04-18 16:02:46,4.05,38.3,62.91,79,99,11.77
256,Vila Velha,BR,2021-04-18 16:02:46,-20.3297,-40.2925,86.0,54,20,12.66
257,Padang,ID,2021-04-18 16:00:15,-0.9492,100.3543,77.45,87,60,3.62
258,Aneho,TG,2021-04-18 16:02:47,6.2333,1.6,73.4,94,75,4.61
259,Castro,BR,2021-04-18 16:02:47,-24.7911,-50.0119,67.12,68,98,2.75
260,Zhigansk,RU,2021-04-18 16:02:48,66.7697,123.3711,3.87,99,100,2.98
261,Monteagudo,BO,2021-04-18 16:02:48,-19.8167,-63.9833,75.04,72,72,3.02
262,Naze,JP,2021-04-18 16:02:49,28.3667,129.4833,59.68,62,86,15.21
263,Chiredzi,ZW,2021-04-18 16:02:49,-21.05,31.6667,67.32,42,0,5.88
264,Hasaki,JP,2021-04-18 16:02:49,35.7333,140.8333,55.4,38,75,11.5
265,Omboue,GA,2021-04-18 16:02:50,-1.5746,9.2618,82.11,73,100,6.42
266,Hamilton,US,2021-04-18 16:02:50,39.1834,-84.5333,60.01,35,20,9.22
267,Taoudenni,ML,2021-04-18 15:59:46,22.6783,-3.9836,96.49,8,0,11.9
268,Katsuura,JP,2021-04-18 16:02:50,35.1333,140.3,55.4,58,20,6.91
269,Soe,ID,2021-04-18 16:02:51,-9.8607,124.284,64.15,90,90,4.05
270,Bilibino,RU,2021-04-18 16:02:51,68.0546,166.4372,13.15,90,66,3.0
271,Beringovskiy,RU,2021-04-18 16:02:51,63.05,179.3167,26.71,98,100,4.85
272,Hambantota,LK,2021-04-18 16:02:52,6.1241,81.1185,80.6,94,20,5.75
273,Kahului,US,2021-04-18 16:02:37,20.8947,-156.47,69.8,94,90,5.75
274,Rockhampton,AU,2021-04-18 16:00:18,-23.3833,150.5,68.0,68,0,4.61
275,Shelburne,CA,2021-04-18 16:02:53,44.0787,-80.2041,55.99,47,20,5.75
276,Bafra,TR,2021-04-18 16:02:53,41.5678,35.9069,62.01,88,75,3.44
277,Saint-Francois,FR,2021-04-18 16:02:53,46.4154,3.9054,51.8,50,0,8.05
278,Ribeira Grande,PT,2021-04-18 16:02:54,38.5167,-28.7,66.2,82,20,10.36
279,Troitskoye,RU,2021-04-18 16:02:54,52.9821,84.6757,43.77,71,100,14.7
280,Kieta,PG,2021-04-18 16:00:24,-6.2167,155.6333,78.84,80,41,3.78
281,Alghero,IT,2021-04-18 16:02:55,40.5589,8.3181,53.6,66,20,9.22
282,Nome,US,2021-04-18 16:02:55,64.5011,-165.4064,28.99,74,1,5.08
283,Sakakah,SA,2021-04-18 16:02:55,29.9697,40.2064,91.4,11,0,2.57
284,Hennenman,ZA,2021-04-18 16:02:56,-27.9765,27.0242,72.0,38,0,4.68
285,Marawi,PH,2021-04-18 16:02:56,7.9986,124.2928,75.0,87,100,7.0
286,Codajas,BR,2021-04-18 16:02:57,-3.8367,-62.0569,76.66,94,96,3.31
287,Honningsvag,NO,2021-04-18 16:02:57,70.9821,25.9704,42.8,65,0,12.66
288,Mauriti,BR,2021-04-18 16:02:57,-7.3892,-38.7744,85.6,51,90,4.47
289,Moratuwa,LK,2021-04-18 16:02:58,6.773,79.8816,84.2,74,20,9.22
290,Muscat,OM,2021-04-18 15:59:16,23.6139,58.5922,84.2,74,0,6.91
291,Sungairaya,ID,2021-04-18 16:02:58,0.7,108.9,75.97,82,100,2.13
292,Nuoro,IT,2021-04-18 16:02:58,40.3211,9.3297,53.6,100,75,3.44
293,Saint Anthony,US,2021-04-18 16:02:59,45.0205,-93.218,55.99,38,1,5.75
294,Roald,NO,2021-04-18 16:02:59,62.5833,6.1333,55.4,47,0,9.22
295,Paamiut,GL,2021-04-18 16:03:00,61.994,-49.6678,25.81,38,99,5.26
